ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
710,dunghill,dung,4.033,1.586,30,hill,3.833,1.984,30,4.53,0.573,0.749
711,dustbin,dust,3.875,1.897,32,bin,5.194,1.778,31,NA,0.824,0.552
712,dustbowl,dust,4.097,1.795,31,bowl,3.355,2.116,31,NA,NA,NA
713,dustcoat,dust,4.097,1.921,31,coat,3.875,1.652,32,NA,NA,NA
714,dustpan,dust,5.063,1.645,32,pan,3.719,1.869,32,NA,0.620,0.746
715,dyestuff,dye,4.406,1.829,32,stuff,2.867,1.613,30,NA,0.588,0.815
716,earache,ear,4.032,1.906,31,ache,4.645,1.501,31,NA,0.672,0.646
717,eardrum,ear,5.125,1.773,32,drum,3.531,1.767,32,NA,0.428,0.766
718,earmark,ear,3.938,1.865,32,mark,3.290,1.575,31,NA,1.011,1.052
719,earmuff,ear,4.806,2.024,31,muff,4.733,1.461,30,NA,0.852,0.776
720,earphone,ear,4.871,1.893,31,phone,3.400,1.694,30,NA,0.627,0.689
721,earpiece,ear,5.032,1.722,31,piece,2.967,1.903,30,NA,0.583,0.867
722,earplug,ear,4.406,1.847,32,plug,4.233,1.924,30,NA,0.573,0.751
723,earring,ear,5.438,1.848,32,ring,4.100,1.989,30,NA,0.635,0.631
724,earshot,ear,4.484,1.458,31,shot,2.806,1.701,31,NA,0.798,0.815
725,earthbound,earth,4.500,1.760,32,bound,3.167,1.642,30,5.93,0.578,0.844
726,earthquake,earth,4.719,1.764,32,quake,4.800,1.690,30,NA,0.732,0.440
727,earthworm,earth,3.813,1.958,32,worm,5.313,1.351,32,NA,0.679,0.591
728,earwax,ear,4.688,1.857,32,wax,3.938,1.770,32,NA,0.566,0.639
729,eastbound,east,4.516,1.895,31,bound,3.733,1.929,30,NA,0.679,0.756
730,edgewise,edge,3.258,1.548,31,wise,3.625,2.319,32,2.82,0.773,0.817
731,eggcup,egg,3.875,1.845,32,cup,3.938,1.722,32,NA,0.730,0.655
732,egghead,egg,3.344,1.537,32,head,2.935,1.731,31,NA,0.839,0.725
733,eggplant,egg,1.750,1.244,32,plant,5.200,1.186,30,NA,0.618,0.750
734,eggshell,egg,5.500,1.723,32,shell,5.226,1.349,31,NA,0.590,0.636
735,egotrip,ego,3.719,1.727,32,trip,2.581,1.587,31,NA,NA,NA
736,elbowroom,elbow,3.438,1.759,32,room,2.871,1.688,31,NA,0.777,0.797
737,elderberry,elder,3.097,1.660,31,berry,4.719,1.872,32,NA,0.776,0.697
738,elderflower,elder,2.839,1.416,31,flower,3.688,2.309,32,NA,0.842,0.694
739,elsewhere,else,3.781,1.660,32,where,3.500,2.013,30,4.60,0.686,0.625
740,endgame,end,3.844,1.780,32,game,3.625,1.854,32,NA,0.703,0.702
741,evergreen,ever,3.750,1.901,32,green,4.194,1.778,31,NA,0.862,0.784
742,evermore,ever,3.938,1.703,32,more,3.267,1.818,30,NA,0.851,0.832
743,everybody,every,2.871,1.784,31,body,2.469,1.964,32,NA,0.609,0.861
744,everyday,every,4.452,1.804,31,day,4.700,1.896,30,NA,0.627,0.541
745,everyone,every,4.188,1.822,32,one,2.200,1.710,30,NA,0.604,0.481
746,everything,every,4.781,2.044,32,thing,3.438,1.842,32,NA,0.625,0.464
747,everywhere,every,3.750,1.832,32,where,3.033,1.991,30,NA,0.682,0.482
748,eyeball,eye,6.323,1.013,31,ball,3.367,1.542,30,5.80,0.534,0.784
749,eyebath,eye,3.563,1.865,32,bath,3.500,1.697,30,NA,0.922,0.827
750,eyebrow,eye,4.875,1.947,32,brow,5.233,1.695,30,5.14,0.654,0.594
751,eyedrop,eye,5.000,1.778,32,drop,3.563,1.872,32,NA,0.896,0.767
752,eyeglass,eye,4.563,1.933,32,glass,4.800,1.400,30,NA,0.634,0.695
753,eyelash,eye,4.906,1.890,32,lash,3.833,2.135,30,5.07,0.638,0.702
754,eyeless,eye,3.161,1.573,31,less,2.000,1.548,32,4.38,0.691,0.888
755,eyelet,eye,3.968,1.871,31,let,2.281,1.488,32,NA,0.825,0.831
756,eyelid,eye,5.406,1.563,32,lid,3.938,1.853,32,6.00,0.550,0.671
757,eyepiece,eye,4.375,2.028,32,piece,3.129,1.455,31,NA,0.697,0.861
758,eyeshot,eye,3.903,1.557,31,shot,2.250,1.493,32,NA,0.937,0.925
759,eyesight,eye,5.645,1.404,31,sight,5.333,1.446,30,6.27,0.587,0.577
760,eyesore,eye,4.875,1.755,32,sore,4.594,1.743,32,5.00,0.874,0.939
761,eyestrain,eye,4.065,2.112,31,strain,4.031,1.777,32,5.29,0.766,0.771
762,eyeteeth,eye,2.935,1.413,31,teeth,2.839,1.369,31,NA,NA,NA
763,eyetooth,eye,3.516,1.363,31,tooth,2.156,1.700,32,NA,0.901,0.790
764,eyewash,eye,5.032,1.958,31,wash,4.600,1.923,30,6.13,0.764,0.562
765,eyewitness,eye,4.313,1.575,32,witness,5.667,1.269,30,6.27,0.890,0.584
766,facecloth,face,4.406,1.811,32,cloth,4.625,1.792,32,NA,0.740,0.698
767,faceless,face,3.323,1.469,31,less,1.969,1.056,32,3.86,0.757,0.879
768,fadeout,fade,5.344,1.473,32,out,3.267,1.760,30,NA,NA,NA
769,fairground,fair,3.281,1.836,32,ground,3.933,1.780,30,NA,0.755,0.978
770,fairway,fair,2.813,1.822,32,way,3.125,1.715,32,NA,0.900,0.834
771,fairyland,fairy,4.806,2.024,31,land,3.839,1.729,31,NA,0.510,0.755
772,fairytale,fairy,4.906,1.634,32,tale,5.125,1.680,32,NA,0.521,0.556
773,falloff,fall,4.406,2.014,32,off,3.133,1.525,30,NA,NA,NA
774,fallout,fall,3.125,1.680,32,out,3.467,1.871,30,3.36,0.882,0.858
775,falsehood,false,3.677,1.492,31,hood,2.563,1.651,32,2.86,NA,0.883
776,fancywork,fancy,4.406,1.757,32,work,3.233,1.675,30,NA,NA,NA
777,fanfare,fan,4.226,1.892,31,fare,2.219,1.344,32,3.87,0.895,0.866
778,fanlight,fan,3.656,1.753,32,light,3.800,1.750,30,NA,0.903,0.771
779,faraway,far,5.563,1.343,32,away,4.500,1.864,30,NA,0.706,0.795
780,farewell,fare,3.258,1.807,31,well,1.625,1.174,32,3.40,0.816,0.806
781,farmhand,farm,4.125,2.106,32,hand,2.871,1.544,31,NA,0.632,0.828
782,farmhouse,farm,5.188,1.674,32,house,4.690,1.228,29,NA,0.513,0.619
783,farmland,farm,5.625,1.385,32,land,4.733,1.639,30,NA,0.637,0.596
784,farmstead,farm,4.281,1.611,32,stead,3.267,1.507,30,NA,0.543,0.922
785,farmyard,farm,5.516,1.363,31,yard,4.581,1.785,31,NA,0.559,0.755
786,fathead,fat,3.375,1.454,32,head,3.452,1.925,31,NA,0.768,0.737
787,fatherhood,father,2.871,1.875,31,hood,2.844,2.053,32,3.86,0.721,0.914
788,fatherland,father,4.194,1.493,31,land,3.500,1.526,30,NA,0.730,0.741
789,fatless,fat,2.581,1.822,31,less,2.452,1.524,31,NA,0.742,0.802
790,fearsome,fear,4.290,2.239,31,some,2.906,1.928,32,NA,0.659,0.834
791,featherbed,feather,4.548,1.567,31,bed,4.065,1.711,31,NA,0.876,0.814
792,feathertop,feather,3.688,1.958,32,top,2.700,1.664,30,NA,NA,NA
793,featherweight,feather,5.032,1.581,31,weight,2.906,2.162,32,NA,0.894,0.821
794,feedback,feed,2.281,1.326,32,back,2.645,1.496,31,3.00,0.874,0.890
795,feedbag,feed,3.355,1.799,31,bag,3.100,1.807,30,NA,0.850,0.741
796,fellowship,fellow,4.613,1.892,31,ship,3.250,1.957,32,3.07,0.668,0.993
797,ferryboat,ferry,4.906,1.820,32,boat,5.233,0.935,30,NA,0.491,0.508
798,ferryman,ferry,5.032,1.643,31,man,3.438,1.911,32,5.60,0.569,0.706
799,fieldmice,field,3.656,1.807,32,mice,4.594,1.856,32,NA,NA,NA
800,fieldmouse,field,4.063,2.047,32,mouse,3.933,1.701,30,NA,NA,NA
801,fieldwork,field,4.688,1.749,32,work,4.600,1.734,30,NA,0.864,0.829
802,figurehead,figure,4.355,1.518,31,head,3.156,1.647,32,3.73,0.760,0.809
803,filmstrip,film,4.938,1.523,32,strip,3.469,1.786,32,5.64,0.629,0.849
804,fingerboard,finger,3.844,1.668,32,board,3.600,1.476,30,NA,0.691,0.937
805,fingernail,finger,5.063,1.703,32,nail,4.600,2.061,30,NA,0.558,0.554
806,fingerprint,finger,5.781,1.660,32,print,3.935,1.611,31,NA,0.716,0.708
807,fingertip,finger,5.438,1.544,32,tip,4.000,1.576,30,NA,0.676,0.759
808,firearm,fire,4.387,1.764,31,arm,2.833,1.744,30,NA,0.693,0.777
809,fireball,fire,4.594,1.720,32,ball,4.167,1.621,30,5.21,0.702,0.797
810,firebird,fire,3.375,1.755,32,bird,3.903,1.868,31,NA,0.885,0.818
811,firebomb,fire,4.719,1.508,32,bomb,4.233,1.382,30,NA,0.657,0.567
812,firebox,fire,4.581,1.608,31,box,3.844,1.820,32,NA,0.808,0.883
813,firebrand,fire,3.781,1.736,32,brand,3.226,1.477,31,NA,0.860,0.826
814,firebrick,fire,3.581,1.928,31,brick,4.467,1.978,30,NA,0.744,0.727
815,firebug,fire,3.500,1.685,32,bug,4.781,1.668,32,NA,0.802,0.774
816,firedog,fire,3.484,1.546,31,dog,3.548,1.710,31,NA,0.992,0.863
817,firefly,fire,3.031,1.840,32,fly,4.323,1.796,31,4.20,0.755,0.739
818,firehouses,fire,4.161,1.753,31,houses,4.438,1.690,32,NA,NA,NA
819,firelight,fire,4.719,1.571,32,light,4.467,1.502,30,5.21,0.661,0.532
820,fireman,fire,4.419,1.478,31,man,3.781,2.020,32,NA,0.574,0.651
821,fireplace,fire,5.281,1.464,32,place,3.900,1.863,30,5.86,0.630,0.768
822,firepower,fire,4.613,1.687,31,power,3.903,1.850,31,4.93,0.809,0.753
823,fireproof,fire,4.258,1.914,31,proof,2.844,1.910,32,4.79,0.660,0.743
824,fireside,fire,4.281,1.670,32,side,2.935,1.482,31,4.54,0.850,0.951
825,firestorm,fire,4.903,1.375,31,storm,3.594,1.964,32,NA,0.735,0.790
826,firewater,fire,3.438,1.722,32,water,3.100,1.583,30,NA,0.846,0.657
827,firewood,fire,5.097,1.491,31,wood,5.167,1.821,30,6.33,0.682,0.478
828,fireworks,fire,4.613,1.820,31,works,3.500,1.768,32,NA,0.641,0.895
829,firstborn,first,3.906,1.766,32,born,4.467,1.737,30,NA,0.756,0.637
830,firsthand,first,4.387,1.838,31,hand,2.567,1.654,30,3.47,0.830,0.875
831,firtree,fir,4.313,1.975,32,tree,4.167,2.135,30,NA,NA,NA
832,fishbone,fish,5.032,1.663,31,bone,4.967,1.217,30,NA,0.760,0.813
833,fishcake,fish,4.250,1.918,32,cake,2.733,1.721,30,NA,NA,NA
834,fisherman,fisher,4.129,1.607,31,man,3.313,2.069,32,NA,0.749,0.682
835,fishmonger,fish,4.742,2.033,31,monger,3.833,1.895,30,NA,0.544,0.852
836,fishpond,fish,4.688,1.874,32,pond,5.067,1.660,30,NA,0.633,0.481
837,fivepence,five,3.645,1.561,31,pence,3.645,1.644,31,NA,NA,NA
838,flagpole,flag,4.844,1.903,32,pole,5.032,1.538,31,NA,0.499,0.718
839,flagship,flag,3.313,1.874,32,ship,2.438,1.630,32,NA,0.904,0.756
840,flagstaff,flag,4.065,1.711,31,staff,3.097,1.535,31,NA,0.715,0.893
841,flagstone,flag,3.469,1.344,32,stone,3.567,1.612,30,NA,0.909,0.623
842,flapjack,flap,3.469,1.849,32,jack,2.733,1.639,30,1.79,0.809,0.782
843,flashback,flash,3.500,1.796,32,back,3.387,1.764,31,NA,0.725,0.721
844,flashbulb,flash,3.969,1.675,32,bulb,4.897,1.698,29,NA,0.586,0.683
845,flashlight,flash,4.750,1.666,32,light,4.733,1.530,30,NA,0.633,0.461
846,flatcar,flat,4.581,1.385,31,car,3.250,1.928,32,NA,0.888,0.900
847,flatfeet,flat,4.031,2.102,32,feet,4.656,1.692,32,NA,NA,NA
848,flatfoot,flat,4.219,1.718,32,foot,3.767,1.591,30,NA,0.748,0.655
849,flathead,flat,3.250,1.934,32,head,3.033,1.299,30,NA,0.868,0.862
850,flaxseed,flax,3.594,1.563,32,seed,4.233,1.870,30,NA,0.651,0.736
851,fleabag,flea,4.226,1.857,31,bag,4.125,1.814,32,NA,0.689,0.622
852,fleabite,flea,3.548,1.690,31,bite,3.677,1.958,31,NA,0.969,0.932
853,flintstone,flint,3.250,1.867,32,stone,3.633,1.732,30,NA,0.818,0.757
854,floodgate,flood,4.344,1.977,32,gate,4.065,1.711,31,NA,0.811,0.698
855,floodlight,flood,3.594,1.811,32,light,4.156,1.932,32,NA,0.859,0.672
856,floodlit,flood,3.645,1.684,31,lit,3.133,1.756,30,NA,NA,NA
857,floorboard,floor,5.000,1.528,31,board,4.156,1.493,32,NA,0.626,0.891
858,floorshow,floor,3.548,1.567,31,show,2.938,1.722,32,NA,0.797,0.665
859,flourmill,flour,4.774,1.521,31,mill,3.969,1.652,32,NA,NA,NA
860,flowchart,flow,4.500,1.626,32,chart,5.200,1.472,30,NA,0.822,0.738
861,flowerbed,flower,4.969,1.534,32,bed,3.900,1.668,30,NA,0.547,0.764
862,flowerpot,flower,4.781,1.862,32,pot,4.813,1.223,32,NA,0.654,0.669
863,flyaway,fly,4.406,1.847,32,away,3.828,1.583,29,NA,0.703,0.755
864,flyover,fly,3.581,1.945,31,over,3.100,1.447,30,NA,0.835,0.816
865,flypaper,fly,3.625,1.621,32,paper,3.452,1.710,31,NA,0.669,0.834
866,flyweight,fly,3.548,1.710,31,weight,3.375,1.956,32,NA,0.848,0.796
867,flywheel,fly,3.250,1.437,32,wheel,3.774,1.857,31,NA,0.877,0.584
868,fogbank,fog,3.387,1.542,31,bank,3.875,2.120,32,NA,NA,NA
869,foghorn,fog,3.688,1.958,32,horn,4.133,1.814,30,NA,0.659,0.524
870,foglamp,fog,3.813,1.595,32,lamp,3.233,1.478,30,NA,NA,NA
871,foldaway,fold,3.688,1.786,32,away,3.100,1.689,30,NA,0.718,0.916
872,folklike,folk,4.594,1.663,32,like,2.333,1.124,30,NA,NA,NA
873,folklore,folk,4.161,1.655,31,lore,3.733,1.964,30,3.87,0.483,0.383
874,folktale,folk,4.219,1.581,32,tale,5.067,1.639,30,5.27,0.665,0.572
875,foodstuff,food,5.438,1.544,32,stuff,3.813,1.688,32,NA,0.508,0.804
876,foolhardy,fool,3.129,1.648,31,hardy,3.258,1.710,31,2.85,0.716,0.745
877,foolproof,fool,3.452,2.079,31,proof,3.033,1.991,30,4.29,0.723,0.711
878,football,foot,4.719,1.922,32,ball,5.065,1.982,31,NA,0.810,0.556
879,footbath,foot,3.226,1.359,31,bath,3.344,1.851,32,NA,0.683,0.589
880,footboard,foot,3.500,1.834,30,board,3.387,1.687,31,NA,0.625,0.892
881,footbridge,foot,3.656,1.619,32,bridge,4.667,1.583,30,NA,0.793,0.441
882,foothill,foot,3.188,1.749,32,hill,3.800,1.710,30,3.33,0.815,0.617
883,foothold,foot,3.806,1.721,31,hold,3.065,1.413,31,4.80,0.897,0.861
884,footlight,foot,3.063,1.777,32,light,3.448,1.502,29,NA,0.961,0.941
885,footloose,foot,3.667,1.539,30,loose,2.774,1.724,31,NA,0.867,0.735
886,footmark,foot,4.645,1.799,31,mark,3.903,1.795,31,NA,0.722,0.843
887,footnote,foot,2.844,1.903,32,note,4.969,1.365,32,3.29,0.968,0.714
888,footpad,foot,4.452,1.877,31,pad,3.467,1.525,30,NA,0.805,0.719
889,footpath,foot,4.375,1.963,32,path,4.700,1.822,30,5.07,0.836,0.506
890,footprint,foot,5.313,1.731,32,print,2.767,1.431,30,6.21,0.755,0.826
891,footrace,foot,4.258,1.390,31,race,2.938,2.029,32,5.57,0.754,0.609
892,footsore,foot,4.344,2.042,32,sore,4.452,1.690,31,NA,0.700,0.745
893,footstep,foot,4.969,1.596,32,step,4.586,1.637,29,6.00,0.672,0.657
894,footstool,foot,4.484,1.981,31,stool,4.567,1.851,30,5.93,0.708,0.651
895,footsure,foot,3.097,1.777,31,sure,2.517,1.184,29,NA,NA,NA
896,footwear,foot,5.406,1.775,32,wear,3.862,1.575,29,5.79,0.726,0.636
897,footwork,foot,4.719,1.905,32,work,3.667,1.561,30,5.07,0.776,0.811
898,forever,for,2.313,1.469,32,ever,3.900,2.090,30,NA,0.581,0.532
899,forklift,fork,3.219,1.896,32,lift,3.433,1.501,30,NA,0.693,0.695
900,forthcoming,forth,3.742,1.483,31,coming,3.344,1.869,32,NA,1.004,0.799
901,forthright,forth,3.688,1.839,32,right,3.133,1.383,30,NA,0.915,0.866
902,fortnight,fort,3.290,1.532,31,night,2.844,2.077,32,2.55,0.938,0.726
903,fountainhead,fountain,4.063,1.883,32,head,3.233,1.794,30,NA,0.739,0.911
904,foursome,four,3.871,2.012,31,some,2.906,2.083,32,NA,0.803,0.809
905,foursquare,four,2.781,1.641,32,square,3.267,2.273,30,NA,0.808,0.760
906,foxglove,fox,3.125,1.809,32,glove,2.906,1.703,32,NA,0.833,0.927
907,foxhole,fox,3.871,1.893,31,hole,4.300,1.896,30,NA,0.822,0.690
908,foxhound,fox,3.968,1.560,31,hound,4.000,1.656,28,NA,0.608,0.530
909,foxhunt,fox,4.313,1.786,32,hunt,4.333,1.729,30,NA,0.686,0.565
910,foxtrot,fox,3.000,1.918,32,trot,2.935,1.806,31,NA,0.772,0.781
911,framework,frame,4.323,1.600,31,work,2.968,1.622,31,3.43,0.878,1.043
912,freeboard,free,3.516,1.842,31,board,2.969,1.803,32,NA,1.006,0.751
913,freeborn,free,3.719,1.746,32,born,3.355,1.704,31,NA,0.918,0.856
914,freedman,freed,3.323,1.701,31,man,4.000,2.135,32,NA,0.915,0.902
915,freedwoman,freed,3.484,1.651,31,woman,4.063,1.821,32,NA,0.746,0.684
916,freehand,free,3.833,1.783,30,hand,3.387,1.726,31,NA,0.912,0.828
917,freelance,free,3.452,1.748,31,lance,2.719,1.668,32,NA,0.896,0.841
918,freeload,free,3.625,1.661,32,load,3.000,1.483,31,NA,0.684,0.848
919,freeman,free,3.903,1.700,31,man,4.656,1.889,32,NA,0.899,0.807
920,Freemason,free,2.469,1.626,32,mason,2.935,1.711,31,NA,NA,NA
921,freestyle,free,4.344,1.753,32,style,4.233,1.888,30,NA,0.834,0.730
922,freeway,free,3.219,1.879,32,way,3.333,1.729,30,NA,0.834,0.667
923,freewheel,free,3.219,1.827,32,wheel,2.800,1.400,30,NA,0.877,0.562
924,freewill,free,4.161,1.551,31,will,3.813,1.892,32,NA,0.764,0.832
925,freshman,fresh,4.387,1.667,31,man,3.594,2.391,32,3.67,0.925,0.762
926,freshwater,fresh,4.125,1.680,32,water,5.355,1.644,31,6.00,0.831,0.611
927,friendship,friend,4.194,1.887,31,ship,3.313,1.887,32,2.80,0.511,0.871
928,frogman,frog,4.484,1.823,31,man,3.656,2.157,32,NA,0.724,0.628
929,frostbite,frost,5.031,1.492,32,bite,2.806,1.493,31,3.86,0.664,0.773
930,fruitcake,fruit,4.500,1.849,32,cake,5.438,1.285,32,5.13,0.602,0.516
931,fullback,full,3.563,1.458,32,back,2.968,1.683,31,NA,0.972,0.810
932,funfair,fun,5.000,1.685,32,fair,3.323,1.851,31,NA,0.662,0.828
933,gallbladder,gall,3.806,2.024,31,bladder,3.867,1.871,30,4.07,0.590,0.423
934,gallstone,gall,4.387,1.856,31,stone,3.533,1.737,30,3.38,0.644,0.849
935,gamebird,game,3.710,2.036,31,bird,4.125,1.888,32,NA,NA,NA
936,gamecock,game,2.719,1.508,32,cock,2.400,1.133,30,NA,0.856,0.778
937,gangland,gang,3.531,1.849,32,land,3.233,1.851,30,NA,0.570,0.878
938,gangplank,gang,3.032,1.643,31,plank,2.633,1.159,30,2.83,0.735,0.618
939,gangway,gang,3.194,1.424,31,way,3.400,1.958,30,3.10,0.871,0.687
940,gaslight,gas,3.750,1.391,32,light,4.100,1.749,30,NA,0.786,0.709
941,gasman,gas,4.032,1.941,31,man,4.094,1.791,32,NA,0.795,0.805
942,gasmask,gas,4.500,1.737,31,mask,4.813,1.579,32,NA,0.739,0.661
943,gatehouse,gate,4.563,1.740,32,house,4.533,1.833,30,NA,0.711,0.777
944,gatepost,gate,4.594,1.701,32,post,4.161,1.642,31,NA,0.675,0.830
945,gateway,gate,4.906,1.634,32,way,4.133,1.995,30,NA,0.651,0.931
946,gemlike,gem,4.563,1.664,32,like,2.667,1.918,30,NA,0.879,0.721
947,gentlefolk,gentle,3.548,1.729,31,folk,4.133,1.907,30,NA,0.776,0.744
948,gentleman,gentle,3.871,1.746,31,man,4.281,1.932,32,5.00,0.704,0.438
949,gentlewoman,gentle,3.516,1.458,31,woman,3.344,2.039,32,NA,0.743,0.626
950,getaway,get,3.000,1.849,32,away,3.867,1.502,30,5.53,0.781,0.753
951,getup,get,2.656,1.494,32,up,3.969,1.769,32,3.36,0.775,0.841
952,ghostlike,ghost,5.000,1.704,32,like,2.567,1.794,30,NA,0.648,0.655
953,gingerbread,ginger,4.125,1.897,32,bread,4.258,1.751,31,5.20,0.775,0.734
954,gingersnap,ginger,3.333,1.647,30,snap,2.903,1.599,31,NA,0.780,0.861
955,ginmill,gin,3.032,1.494,31,mill,3.219,1.637,32,NA,NA,NA
956,girlfriend,girl,4.656,1.753,32,friend,4.313,1.330,32,5.53,0.394,0.358
957,girlhood,girl,4.226,1.707,31,hood,3.313,2.065,32,NA,0.560,0.915
958,giveaway,give,4.969,1.402,32,away,3.710,1.888,31,NA,0.779,0.926
959,glasshouse,glass,5.065,1.482,31,house,4.767,1.591,30,NA,0.789,0.869
960,glassware,glass,5.700,1.343,30,ware,3.667,1.647,30,NA,0.587,0.651
961,gnomelike,gnome,4.844,1.725,32,like,2.871,1.668,31,NA,NA,NA
962,goalkeeper,goal,4.774,1.499,31,keeper,2.938,1.888,32,NA,0.556,0.475
963,goalpost,goal,5.125,1.601,32,post,3.581,1.336,31,5.71,0.650,1.004
964,goatherd,goat,4.129,2.045,31,herd,3.567,1.382,30,5.17,0.518,0.635
965,goatskin,goat,4.688,1.839,32,skin,4.733,1.596,30,NA,0.692,0.736
966,godchild,god,2.500,1.832,32,child,4.219,1.641,32,NA,0.698,0.649
967,goddaughter,god,2.375,1.879,32,daughter,4.833,1.642,30,NA,0.674,0.519
968,godfather,god,2.613,1.944,31,father,4.833,1.555,30,NA,0.775,0.581
969,godhead,god,3.031,1.769,32,head,3.276,1.830,29,NA,0.626,0.885
970,godlike,god,4.813,1.839,32,like,2.516,1.458,31,NA,0.744,0.754
971,godmother,god,2.563,1.883,32,mother,4.484,1.480,31,NA,0.798,0.614
972,godparent,god,2.194,1.579,31,parent,4.742,1.262,31,NA,0.663,0.678
973,godsend,god,4.355,2.058,31,send,3.100,1.561,30,NA,0.756,0.932
974,godson,god,2.313,1.857,32,son,4.406,1.749,32,NA,0.767,0.624
975,godspeed,god,3.031,1.992,32,speed,4.133,1.756,30,NA,NA,NA
976,goldfinch,gold,3.094,1.510,32,finch,3.600,1.429,30,NA,0.889,0.603
977,goldfish,gold,2.258,1.591,31,fish,5.563,1.502,32,NA,0.831,0.523
978,goldmine,gold,5.156,1.798,32,mine,4.833,1.840,30,NA,0.762,0.880
979,goodby,good,4.419,1.523,31,by,3.344,2.182,32,NA,NA,NA
980,goodbye,good,2.258,1.788,31,bye,6.533,0.776,30,NA,0.436,0.238
981,goodnight,good,3.500,1.697,30,night,5.067,1.818,30,NA,0.503,0.507
982,goodwill,good,4.613,1.726,31,will,3.724,1.623,29,NA,0.819,0.870
983,gooseberry,goose,3.806,1.833,31,berry,2.781,2.069,32,NA,0.856,0.680
984,goosestep,goose,2.645,1.872,31,step,2.969,1.821,32,NA,NA,NA
985,grandaunt,grand,2.258,1.982,31,aunt,4.333,1.478,30,NA,0.839,0.641
986,grandchild,grand,2.333,1.390,30,child,4.774,1.726,31,NA,0.835,0.458
987,granddad,grand,2.594,1.493,32,dad,4.469,1.749,32,NA,NA,NA
988,granddaughter,grand,2.452,1.588,31,daughter,4.400,1.993,30,NA,0.826,0.443
989,grandfather,grand,2.938,2.047,32,father,4.774,1.494,31,NA,0.780,0.308
990,grandma,grand,2.031,1.356,32,ma,3.656,1.807,32,NA,0.804,0.588
991,grandmother,grand,2.355,1.582,31,mother,4.645,1.959,31,NA,0.786,0.259
992,grandnephew,grand,2.548,1.588,31,nephew,4.367,1.974,30,NA,0.778,0.614
993,grandniece,grand,2.500,1.901,32,niece,4.233,1.633,30,NA,0.882,0.506
994,grandpa,grand,2.531,1.646,32,pa,4.903,1.660,31,NA,0.735,0.699
995,grandparent,grand,2.250,1.244,32,parent,4.871,1.688,31,NA,0.926,0.540
996,grandson,grand,2.387,1.430,31,son,4.548,1.748,31,NA,0.760,0.355
997,grandstand,grand,3.813,1.991,32,stand,3.226,1.454,31,NA,0.868,0.814
998,granduncle,grand,2.839,1.934,31,uncle,4.767,1.775,30,NA,0.878,0.807
999,grapefruit,grape,2.839,1.791,31,fruit,5.833,0.913,30,3.33,0.724,0.581
1000,grapevine,grape,4.781,1.896,32,vine,5.156,1.657,32,5.00,0.746,0.683
1001,grassfire,grass,4.219,2.028,32,fire,3.733,1.893,30,NA,NA,NA
1002,grassland,grass,5.742,1.210,31,land,4.100,1.494,30,NA,0.535,0.779
1003,grassroots,grass,2.839,1.864,31,roots,3.469,1.927,32,NA,0.884,NA
1004,gravestone,grave,5.000,1.796,32,stone,4.276,1.437,29,NA,0.511,0.705
1005,graveyard,grave,5.806,1.662,31,yard,4.129,1.784,31,NA,0.504,0.702
1006,graybeard,gray,4.188,1.874,32,beard,4.167,1.683,30,NA,0.842,0.856
1007,greasepaint,grease,4.194,1.400,31,paint,3.800,1.297,30,4.18,0.648,0.680
1008,greaseproof,grease,3.968,2.041,31,proof,3.300,1.745,30,NA,0.729,0.865
1009,greenback,green,2.719,1.782,32,back,2.281,1.423,32,NA,0.850,0.705
1010,greengrocer,green,3.484,1.710,31,grocer,4.065,1.776,31,NA,0.836,0.454
1011,greenhorn,green,3.125,1.827,32,horn,2.645,1.743,31,NA,0.838,0.819
1012,greenhouse,green,3.719,1.782,32,house,3.900,1.322,30,NA,0.796,0.765
1013,greenleaf,green,2.710,1.553,31,leaf,4.000,2.000,32,NA,NA,NA
1014,greenroom,green,3.000,1.506,31,room,4.688,2.074,32,NA,0.909,0.856
1015,greybeard,grey,3.563,1.759,32,beard,3.710,2.020,31,NA,NA,NA
1016,greyhound,grey,3.219,1.791,32,hound,4.313,1.751,32,NA,0.882,0.730
1017,gridiron,grid,2.839,1.614,31,iron,3.226,1.950,31,NA,0.921,0.809
1018,grillework,grille,4.000,1.592,31,work,2.667,1.241,30,NA,NA,NA
1019,grindstone,grind,3.969,1.732,32,stone,4.100,1.626,30,NA,0.718,0.742
1020,gristmill,grist,3.323,1.423,31,mill,3.000,1.483,31,NA,0.649,0.580
1021,groundhog,ground,3.250,1.760,32,hog,3.516,1.823,31,NA,0.962,0.833
1022,groundsman,grounds,3.194,1.642,31,man,4.161,1.717,32,NA,0.827,0.853
1023,groundwork,ground,3.484,1.730,31,work,4.677,1.579,31,NA,0.789,0.922
1024,grovelike,grove,4.871,1.648,31,like,3.097,1.350,31,NA,NA,NA
1025,guardhouse,guard,5.094,1.673,32,house,4.419,1.747,31,NA,0.655,0.689
1026,guardrail,guard,3.933,1.552,30,rail,3.241,1.618,29,5.00,0.719,0.716
1027,guardroom,guard,4.781,1.947,32,room,4.167,1.621,30,NA,0.525,0.661
1028,guardsman,guards,3.710,1.755,31,man,3.563,2.080,32,NA,NA,0.619
