ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
74,babyhood,baby,5.581,1.205,31,hood,1.750,1.086,32,NA,0.596,0.880
75,backache,back,4.844,1.609,32,ache,5.387,1.520,31,6.43,0.723,0.525
76,backbend,back,3.677,1.492,31,bend,3.094,1.741,32,NA,0.691,0.823
77,backboard,back,3.774,1.726,31,board,4.200,1.955,30,NA,0.727,0.871
78,backbone,back,4.645,1.664,31,bone,5.000,1.880,31,6.29,0.974,0.804
79,backdoor,back,4.531,1.849,32,door,4.567,1.633,30,NA,0.837,0.750
80,backdrop,back,3.844,1.687,32,drop,2.613,1.626,31,3.46,0.937,0.924
81,backfire,back,3.406,1.847,32,fire,3.300,1.841,30,3.64,0.831,0.801
82,background,back,3.906,1.573,32,ground,2.967,1.829,30,3.50,0.838,0.845
83,backhand,back,3.594,1.701,32,hand,3.400,1.610,30,4.86,0.799,0.701
84,backlash,back,3.031,1.713,32,lash,3.933,1.799,30,3.71,0.926,0.858
85,backless,back,3.968,1.816,31,less,2.250,1.734,32,3.64,0.708,0.835
86,backlog,back,3.313,1.575,32,log,3.387,1.856,31,2.91,0.920,0.862
87,backpack,back,4.355,1.836,31,pack,3.844,1.640,32,6.00,0.718,0.624
88,backpedal,back,3.903,1.446,31,pedal,4.344,1.924,32,NA,0.629,0.796
89,backseat,back,4.344,1.911,32,seat,4.719,1.616,32,6.07,0.607,0.625
90,backside,back,4.484,1.610,31,side,3.207,1.473,29,5.13,0.725,0.747
91,backslide,back,3.344,1.516,32,slide,3.433,1.695,30,3.33,0.605,0.707
92,backspace,back,4.156,1.798,32,space,2.700,1.343,30,NA,0.743,0.854
93,backstage,back,4.484,1.749,31,stage,4.767,1.794,30,5.71,0.750,0.446
94,backstitch,back,3.469,1.665,32,stitch,3.938,1.975,32,NA,0.663,0.616
95,backstroke,back,3.531,1.900,32,stroke,3.733,1.982,30,4.93,0.818,0.751
96,backtalk,back,3.581,1.409,31,talk,3.533,1.737,30,NA,0.918,0.962
97,backtrack,back,3.813,1.554,32,track,3.065,1.788,31,5.07,0.836,0.807
98,backup,back,3.469,1.502,32,up,2.633,1.450,30,3.73,0.686,0.755
99,backwash,back,3.781,1.827,32,wash,3.067,1.230,30,3.50,0.843,0.750
100,backwater,back,2.969,1.805,32,water,3.625,1.851,32,3.27,0.844,0.852
101,backyard,back,3.938,1.917,32,yard,4.968,1.871,31,5.80,0.758,0.554
102,badmen,bad,3.969,1.713,32,men,4.267,1.929,30,NA,NA,NA
103,bagpipe,bag,3.645,1.644,31,pipe,4.200,1.883,30,4.46,0.993,0.658
104,ballpoint,ball,3.031,1.750,32,point,3.323,1.990,31,NA,0.848,0.834
105,ballroom,ball,3.531,1.967,32,room,4.833,1.440,30,NA,0.741,0.724
106,bandmaster,band,4.125,1.897,32,master,4.065,1.769,31,NA,0.544,0.875
107,bandstand,band,3.375,1.601,32,stand,3.839,2.018,31,NA,0.634,0.920
108,bandwagon,band,3.313,1.731,32,wagon,3.774,1.978,31,NA,0.923,0.764
109,bandwidth,band,2.968,1.581,31,width,3.000,1.825,32,NA,0.864,0.864
110,bankbill,bank,3.839,2.002,31,bill,4.344,1.770,32,NA,NA,NA
111,bankbook,bank,5.226,1.746,31,book,3.900,1.954,30,NA,0.723,0.836
112,banknote,bank,4.656,1.961,32,note,4.594,1.630,32,5.00,0.623,0.712
113,bankroll,bank,4.516,1.630,31,roll,3.094,1.791,32,3.53,0.690,0.820
114,barbell,bar,3.290,1.829,31,bell,2.781,1.829,32,NA,0.821,0.880
115,bareback,bare,4.063,1.605,32,back,3.875,1.675,32,NA,0.797,0.767
116,barefoot,bare,4.344,1.638,32,foot,5.129,1.628,31,NA,0.709,0.632
117,barkeep,bar,3.719,1.591,32,keep,2.969,1.683,32,NA,0.471,0.642
118,barleycorn,barley,4.281,1.800,32,corn,3.774,1.564,31,NA,0.620,0.672
119,barmaid,bar,3.906,1.673,32,maid,3.586,1.991,29,NA,0.504,0.546
120,barnstorm,barn,3.484,1.749,31,storm,3.452,1.670,31,NA,0.997,1.020
121,barnyard,barn,4.594,1.932,32,yard,4.667,1.668,30,NA,0.773,0.811
122,baseball,base,3.688,1.975,32,ball,5.533,1.592,30,NA,0.822,0.586
123,baseboard,base,3.313,1.635,32,board,4.000,1.597,30,NA,0.778,0.824
124,baseline,base,4.594,1.720,32,line,3.933,1.856,30,NA,0.829,0.898
125,baseman,base,3.452,1.670,31,man,4.000,1.914,32,NA,0.752,0.741
126,basketball,basket,4.281,2.129,32,ball,5.600,1.221,30,5.64,0.822,0.483
127,basketwork,basket,4.250,1.626,32,work,3.400,1.453,30,NA,0.855,0.804
128,bathrobe,bath,5.000,1.807,31,robe,4.613,1.961,31,NA,0.567,0.431
129,bathroom,bath,5.406,1.542,32,room,5.467,1.332,30,NA,0.486,0.388
130,bathtub,bath,5.438,1.703,32,tub,5.000,1.354,32,NA,0.455,0.453
131,batman,bat,3.813,2.039,32,man,3.633,1.712,30,4.86,0.721,0.754
132,battlefield,battle,5.677,1.423,31,field,4.333,1.668,30,NA,0.464,0.647
133,battlefront,battle,5.355,1.450,31,front,3.733,1.437,30,NA,0.585,0.772
